All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename : undef
SeqY filename : undef
SeqX name : undef
SeqY name : undef
SeqX length : 3209286559
SeqY length : 2174274532
Min.fragment.length : undef
Min.Identity : undef
Tot Hits (seeds) : undef
Tot Hits (seeds) used: undef
Total fragments : undef
========================================================
Total CSB: 0
========================================================
Type,xStart,yStart,xEnd,yEnd,strand(f/r),block,length,score,ident,similarity,%ident,SeqX,SeqY
Frag,46046537,92486201,46046633,92486297,f,0,96,76,76,80.00,80.00,0,0
Frag,46023773,92397384,46023997,92397608,f,0,224,179,179,80.00,80.00,0,0
Frag,46008314,92378067,46008378,92378131,f,0,64,51,51,80.00,80.00,0,0
Frag,46526527,82316222,46526591,82316286,f,0,64,51,51,80.00,80.00,0,0
Frag,46497814,82261712,46497878,82261776,f,0,64,51,51,80.00,80.00,0,0
Frag,3438505,191455105,3438633,191455233,f,0,128,102,102,80.00,80.00,0,0
Frag,3435195,191451007,3435259,191451071,f,0,64,51,51,80.00,80.00,0,0
Frag,3435236,191451043,3435364,191451171,f,0,128,102,102,80.00,80.00,0,0
Frag,3411380,191419945,3411668,191420233,f,0,288,230,230,80.00,80.00,0,0
Frag,3398635,191405526,3398699,191405590,f,0,64,51,51,80.00,80.00,0,0
Frag,3248023,191238618,3248151,191238746,f,0,128,102,102,80.00,80.00,0,0
Frag,3249783,191240344,3249943,191240504,f,0,160,128,128,80.00,80.00,0,0
Frag,3268279,191255249,3268407,191255377,f,0,128,102,102,80.00,80.00,0,0
Frag,3317810,191304601,3318066,191304857,f,0,256,204,204,80.00,80.00,0,0
Frag,3318070,191304860,3318134,191304924,f,0,64,51,51,80.00,80.00,0,0
Frag,3322299,191308839,3322395,191308935,f,0,96,76,76,80.00,80.00,0,0
Frag,3274422,191258382,3274678,191258638,f,0,256,204,204,80.00,80.00,0,0
Frag,3274114,191258073,3274434,191258393,f,0,320,256,256,80.00,80.00,0,0
Frag,3312695,191294857,3312791,191294953,f,0,96,76,76,80.00,80.00,0,0
Frag,3219154,191192185,3219442,191192473,f,0,288,230,230,80.00,80.00,0,0
Frag,3218199,191191086,3218295,191191182,f,0,96,76,76,80.00,80.00,0,0
Frag,3215988,191187751,3216084,191187847,f,0,96,76,76,80.00,80.00,0,0
Frag,3186217,191152622,3186409,191152814,f,0,192,153,153,80.00,80.00,0,0
