All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename : undef
SeqY filename : undef
SeqX name : undef
SeqY name : undef
SeqX length : 1130445958
SeqY length : 1679205391
Min.fragment.length : undef
Min.Identity : undef
Tot Hits (seeds) : undef
Tot Hits (seeds) used: undef
Total fragments : undef
========================================================
Total CSB: 0
========================================================
Type,xStart,yStart,xEnd,yEnd,strand(f/r),block,length,score,ident,similarity,%ident,SeqX,SeqY
Frag,725490,31109422,725554,31109486,f,0,64,51,51,80.00,80.00,0,0
Frag,21575736,119944346,21575832,119944442,f,0,96,76,76,80.00,80.00,0,0
Frag,21575728,205831256,21575792,205831320,f,0,64,51,51,80.00,80.00,0,0
Frag,21575723,297339153,21575787,297339217,f,0,64,51,51,80.00,80.00,0,0
Frag,21575729,290901149,21575793,290901213,f,0,64,51,51,80.00,80.00,0,0
Frag,21575736,436436295,21575832,436436391,f,0,96,76,76,80.00,80.00,0,0
Frag,7882944,507094286,7883008,507094350,f,0,64,51,51,80.00,80.00,0,0
Frag,724855,621509668,725175,621509988,f,0,320,256,256,80.00,80.00,0,0
Frag,725490,621510282,725554,621510346,f,0,64,51,51,80.00,80.00,0,0
Frag,18382805,621509566,18383125,621509886,f,0,320,256,256,80.00,80.00,0,0
Frag,37720356,621509924,37720420,621509988,f,0,64,51,51,80.00,80.00,0,0
Frag,37720127,621509694,37720319,621509886,f,0,192,153,153,80.00,80.00,0,0
Frag,9856280,719650323,9856344,719650387,f,0,64,51,51,80.00,80.00,0,0
Frag,7188023,709289440,7188087,709289504,f,0,64,51,51,80.00,80.00,0,0
Frag,33137260,719650035,33137612,719650387,f,0,352,281,281,80.00,80.00,0,0
Frag,35249779,764858642,35249875,764858738,f,0,96,76,76,80.00,80.00,0,0
Frag,21482942,729482697,21483102,729482857,f,0,160,128,128,80.00,80.00,0,0
Frag,724878,829907394,725006,829907522,f,0,128,102,102,80.00,80.00,0,0
Frag,18383385,829907597,18383449,829907661,f,0,64,51,51,80.00,80.00,0,0
Frag,21575722,825045568,21575786,825045632,f,0,64,51,51,80.00,80.00,0,0
Frag,21575768,823656687,21575832,823656751,f,0,64,51,51,80.00,80.00,0,0
Frag,21482942,916847869,21483102,916848029,f,0,160,128,128,80.00,80.00,0,0
Frag,45547857,916847869,45548017,916848029,f,0,160,128,128,80.00,80.00,0,0
Frag,12511915,961417670,12511979,961417734,f,0,64,51,51,80.00,80.00,0,0
Frag,21575729,969171989,21575793,969172053,f,0,64,51,51,80.00,80.00,0,0
Frag,30383248,973043692,30383312,973043756,f,0,64,51,51,80.00,80.00,0,0
Frag,36424301,966590068,36424365,966590132,f,0,64,51,51,80.00,80.00,0,0
Frag,41086690,955356699,41086754,955356763,f,0,64,51,51,80.00,80.00,0,0
Frag,33137275,945949817,33137627,945950169,f,0,352,281,281,80.00,80.00,0,0
Frag,724855,1035574989,725175,1035575309,f,0,320,256,256,80.00,80.00,0,0
Frag,18382699,1035574781,18383115,1035575197,f,0,416,332,332,80.00,80.00,0,0
Frag,21482942,1032001887,21483102,1032002047,f,0,160,128,128,80.00,80.00,0,0
Frag,37720356,1035575245,37720420,1035575309,f,0,64,51,51,80.00,80.00,0,0
Frag,37720117,1035575005,37720309,1035575197,f,0,192,153,153,80.00,80.00,0,0
Frag,45547857,1032001887,45548017,1032002047,f,0,160,128,128,80.00,80.00,0,0
Frag,21575728,999324288,21575792,999324352,f,0,64,51,51,80.00,80.00,0,0
Frag,29051658,987722514,29051754,987722610,f,0,96,76,76,80.00,80.00,0,0
Frag,21575722,1132299312,21575786,1132299376,f,0,64,51,51,80.00,80.00,0,0
Frag,21575723,1125813350,21575787,1125813414,f,0,64,51,51,80.00,80.00,0,0
Frag,725490,1282128018,725554,1282128082,f,0,64,51,51,80.00,80.00,0,0
Frag,21483163,1284962293,21483259,1284962389,f,0,96,76,76,80.00,80.00,0,0
Frag,21483592,1284962707,21483656,1284962771,f,0,64,51,51,80.00,80.00,0,0
Frag,45548047,1284962261,45548175,1284962389,f,0,128,102,102,80.00,80.00,0,0
Frag,45548309,1284962520,45548405,1284962616,f,0,96,76,76,80.00,80.00,0,0
Frag,45548511,1284962707,45548575,1284962771,f,0,64,51,51,80.00,80.00,0,0
Frag,21482942,1476995761,21483102,1476995921,f,0,160,128,128,80.00,80.00,0,0
Frag,45588307,1498384559,45588435,1498384687,f,0,128,102,102,80.00,80.00,0,0
Frag,45547857,1476995761,45548017,1476995921,f,0,160,128,128,80.00,80.00,0,0
Frag,725566,1519761693,725662,1519761789,f,0,96,76,76,80.00,80.00,0,0
Frag,21575731,1615078995,21575795,1615079059,f,0,64,51,51,80.00,80.00,0,0
Frag,21575722,1666323589,21575786,1666323653,f,0,64,51,51,80.00,80.00,0,0
Frag,14253166,1647759368,14253262,1647759272,r,0,96,76,76,80.00,80.00,0,0
Frag,14978344,1486876987,14978408,1486876923,r,0,64,51,51,80.00,80.00,0,0
Frag,18371924,1516711681,18372020,1516711585,r,0,96,76,76,80.00,80.00,0,0
Frag,23298828,1519761824,23298892,1519761760,r,0,64,51,51,80.00,80.00,0,0
Frag,18383193,1284962618,18383449,1284962362,r,0,256,204,204,80.00,80.00,0,0
Frag,21482917,1282128241,21483109,1282128049,r,0,192,153,153,80.00,80.00,0,0
Frag,46892815,1263806189,46892879,1263806125,r,0,64,51,51,80.00,80.00,0,0
Frag,21483806,1321407549,21483870,1321407485,r,0,64,51,51,80.00,80.00,0,0
Frag,21483496,1321407869,21483656,1321407709,r,0,160,128,128,80.00,80.00,0,0
Frag,45548309,1321407965,45548405,1321407869,r,0,96,76,76,80.00,80.00,0,0
Frag,45548605,1321407677,45548797,1321407485,r,0,192,153,153,80.00,80.00,0,0
Frag,45548415,1321407869,45548575,1321407709,r,0,160,128,128,80.00,80.00,0,0
Frag,49900360,1162857061,49900520,1162856901,r,0,160,128,128,80.00,80.00,0,0
Frag,21482942,1133407158,21483102,1133406998,r,0,160,128,128,80.00,80.00,0,0
Frag,19966707,1136532228,19966803,1136532132,r,0,96,76,76,80.00,80.00,0,0
Frag,21483269,1035575494,21483589,1035575174,r,0,320,256,256,80.00,80.00,0,0
Frag,23299132,1035575526,23299484,1035575174,r,0,352,281,281,80.00,80.00,0,0
Frag,45548315,1035575367,45548507,1035575175,r,0,192,153,153,80.00,80.00,0,0
Frag,25783219,970078959,25783283,970078895,r,0,64,51,51,80.00,80.00,0,0
Frag,21482942,1014266240,21483102,1014266080,r,0,160,128,128,80.00,80.00,0,0
Frag,21483594,926696711,21483658,926696647,r,0,64,51,51,80.00,80.00,0,0
Frag,21482942,951682289,21483102,951682129,r,0,160,128,128,80.00,80.00,0,0
Frag,7193070,828715399,7193134,828715335,r,0,64,51,51,80.00,80.00,0,0
Frag,21483163,829907730,21483259,829907634,r,0,96,76,76,80.00,80.00,0,0
Frag,21483806,829907333,21483870,829907269,r,0,64,51,51,80.00,80.00,0,0
