All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename : undef
SeqY filename : undef
SeqX name : undef
SeqY name : undef
SeqX length : 1130445958
SeqY length : 1679205391
Min.fragment.length : undef
Min.Identity : undef
Tot Hits (seeds) : undef
Tot Hits (seeds) used: undef
Total fragments : undef
========================================================
Total CSB: 0
========================================================
Type,xStart,yStart,xEnd,yEnd,strand(f/r),block,length,score,ident,similarity,%ident,SeqX,SeqY
Frag,21575753,54472796,21575817,54472860,f,0,64,51,51,80.00,80.00,0,0
Frag,725490,31109422,725714,31109646,f,0,224,179,179,80.00,80.00,0,0
Frag,18383573,31109454,18383765,31109646,f,0,192,153,153,80.00,80.00,0,0
Frag,725524,351469,725684,351629,f,0,160,128,128,80.00,80.00,0,0
Frag,37720766,31109454,37720862,31109550,f,0,96,76,76,80.00,80.00,0,0
Frag,18383575,351469,18383735,351629,f,0,160,128,128,80.00,80.00,0,0
Frag,21575736,119944346,21575832,119944442,f,0,96,76,76,80.00,80.00,0,0
Frag,24424309,159780913,24424469,159781073,f,0,160,128,128,80.00,80.00,0,0
Frag,725524,208792690,725684,208792850,f,0,160,128,128,80.00,80.00,0,0
Frag,18383575,208792690,18383735,208792850,f,0,160,128,128,80.00,80.00,0,0
Frag,21575728,205831256,21575824,205831352,f,0,96,76,76,80.00,80.00,0,0
Frag,725524,314671606,725684,314671766,f,0,160,128,128,80.00,80.00,0,0
Frag,18383575,314671606,18383735,314671766,f,0,160,128,128,80.00,80.00,0,0
Frag,37720768,314671606,37720864,314671702,f,0,96,76,76,80.00,80.00,0,0
Frag,21575723,297339153,21575819,297339249,f,0,96,76,76,80.00,80.00,0,0
Frag,21575729,290901149,21575825,290901245,f,0,96,76,76,80.00,80.00,0,0
Frag,725524,377166887,725716,377167079,f,0,192,153,153,80.00,80.00,0,0
Frag,18383575,377166887,18383735,377167047,f,0,160,128,128,80.00,80.00,0,0
Frag,37720768,377166887,37720864,377166983,f,0,96,76,76,80.00,80.00,0,0
Frag,21575766,356064045,21575830,356064109,f,0,64,51,51,80.00,80.00,0,0
Frag,21575756,437311100,21575820,437311164,f,0,64,51,51,80.00,80.00,0,0
Frag,21575736,436436295,21575832,436436391,f,0,96,76,76,80.00,80.00,0,0
Frag,7882944,507094286,7883104,507094446,f,0,160,128,128,80.00,80.00,0,0
Frag,724880,621509693,725360,621510173,f,0,480,384,384,80.00,80.00,0,0
Frag,724749,621509557,724845,621509653,f,0,96,76,76,80.00,80.00,0,0
Frag,725490,621510282,725714,621510506,f,0,224,179,179,80.00,80.00,0,0
Frag,18382796,621509557,18383372,621510133,f,0,576,460,460,80.00,80.00,0,0
Frag,18383573,621510314,18383733,621510474,f,0,160,128,128,80.00,80.00,0,0
Frag,24424309,627393605,24424469,627393765,f,0,160,128,128,80.00,80.00,0,0
Frag,37720356,621509924,37720548,621510116,f,0,192,153,153,80.00,80.00,0,0
Frag,37720127,621509694,37720351,621509918,f,0,224,179,179,80.00,80.00,0,0
