All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename : undef
SeqY filename : undef
SeqX name : undef
SeqY name : undef
SeqX length : 3209286559
SeqY length : 2174274532
Min.fragment.length : undef
Min.Identity : undef
Tot Hits (seeds) : undef
Tot Hits (seeds) used: undef
Total fragments : undef
========================================================
Total CSB: 0
========================================================
Type,xStart,yStart,xEnd,yEnd,strand(f/r),block,length,score,ident,similarity,%ident,SeqX,SeqY
Frag,3438505,191455105,3438601,191455201,f,0,96,76,76,80.00,80.00,0,0
Frag,3435236,191451043,3435332,191451139,f,0,96,76,76,80.00,80.00,0,0
Frag,3411380,191419945,3411540,191420105,f,0,160,128,128,80.00,80.00,0,0
Frag,3248023,191238618,3248151,191238746,f,0,128,102,102,80.00,80.00,0,0
Frag,3249783,191240344,3249847,191240408,f,0,64,51,51,80.00,80.00,0,0
Frag,3268279,191255249,3268407,191255377,f,0,128,102,102,80.00,80.00,0,0
Frag,3317810,191304601,3317938,191304729,f,0,128,102,102,80.00,80.00,0,0
Frag,3318070,191304860,3318134,191304924,f,0,64,51,51,80.00,80.00,0,0
Frag,3322299,191308839,3322395,191308935,f,0,96,76,76,80.00,80.00,0,0
Frag,3274422,191258382,3274550,191258510,f,0,128,102,102,80.00,80.00,0,0
Frag,3274104,191258063,3274392,191258351,f,0,288,230,230,80.00,80.00,0,0
Frag,3312695,191294857,3312791,191294953,f,0,96,76,76,80.00,80.00,0,0
Frag,3219154,191192185,3219250,191192281,f,0,96,76,76,80.00,80.00,0,0
Frag,3218199,191191086,3218295,191191182,f,0,96,76,76,80.00,80.00,0,0
Frag,3186217,191152622,3186281,191152686,f,0,64,51,51,80.00,80.00,0,0
Frag,3155847,191118556,3155975,191118684,f,0,128,102,102,80.00,80.00,0,0
Frag,3141441,191101312,3141537,191101408,f,0,96,76,76,80.00,80.00,0,0
Frag,3169936,191125370,3170064,191125498,f,0,128,102,102,80.00,80.00,0,0
Frag,3080156,191010483,3080252,191010579,f,0,96,76,76,80.00,80.00,0,0
Frag,3075210,191004547,3075434,191004771,f,0,224,179,179,80.00,80.00,0,0
Frag,3075218,191004555,3075474,191004811,f,0,256,204,204,80.00,80.00,0,0
Frag,3075217,191004554,3075537,191004874,f,0,320,256,256,80.00,80.00,0,0
Frag,3069114,190995306,3069178,190995370,f,0,64,51,51,80.00,80.00,0,0
Frag,46046537,92486201,46046633,92486297,f,0,96,76,76,80.00,80.00,0,0
Frag,46023773,92397384,46023837,92397448,f,0,64,51,51,80.00,80.00,0,0
Frag,46526527,82316222,46526591,82316286,f,0,64,51,51,80.00,80.00,0,0
Frag,46497814,82261712,46497878,82261776,f,0,64,51,51,80.00,80.00,0,0
Frag,22909029,309375015,22909125,309375111,f,0,96,76,76,80.00,80.00,0,0
Frag,43603794,291401263,43604178,291401647,f,0,384,307,307,80.00,80.00,0,0
Frag,63817411,311603865,63817507,311603961,f,0,96,76,76,80.00,80.00,0,0
Frag,43584949,291370541,43585045,291370637,f,0,96,76,76,80.00,80.00,0,0
Frag,43584565,291370125,43584789,291370349,f,0,224,179,179,80.00,80.00,0,0
Frag,6979469,362672507,6979629,362672667,f,0,160,128,128,80.00,80.00,0,0
Frag,6985528,362675276,6985848,362675596,f,0,320,256,256,80.00,80.00,0,0
Frag,6958887,362646101,6958983,362646197,f,0,96,76,76,80.00,80.00,0,0
Frag,6958883,362646097,6959075,362646289,f,0,192,153,153,80.00,80.00,0,0
Frag,6956428,362642783,6956588,362642943,f,0,160,128,128,80.00,80.00,0,0
Frag,6935401,362619461,6935497,362619557,f,0,96,76,76,80.00,80.00,0,0
Frag,6825066,362495346,6825194,362495474,f,0,128,102,102,80.00,80.00,0,0
Frag,6872806,362539419,6872902,362539515,f,0,96,76,76,80.00,80.00,0,0
Frag,18748734,414881460,18748798,414881524,f,0,64,51,51,80.00,80.00,0,0
Frag,18725553,414854099,18725617,414854163,f,0,64,51,51,80.00,80.00,0,0
Frag,18710544,414835322,18710768,414835546,f,0,224,179,179,80.00,80.00,0,0
Frag,18768776,414891526,18768904,414891654,f,0,128,102,102,80.00,80.00,0,0
Frag,18768747,414891497,18769003,414891753,f,0,256,204,204,80.00,80.00,0,0
Frag,18640289,414756671,18640353,414756735,f,0,64,51,51,80.00,80.00,0,0
Frag,18639090,414755263,18639154,414755327,f,0,64,51,51,80.00,80.00,0,0
Frag,18676048,414778299,18676272,414778523,f,0,224,179,179,80.00,80.00,0,0
Frag,18918342,414997384,18918502,414997544,f,0,160,128,128,80.00,80.00,0,0
Frag,19076705,415069801,19076897,415069993,f,0,192,153,153,80.00,80.00,0,0
Frag,19120173,415105068,19120301,415105196,f,0,128,102,102,80.00,80.00,0,0
Frag,19339512,415224082,19339608,415224178,f,0,96,76,76,80.00,80.00,0,0
